time_msk,name,channel_id,subs,views,videos,change_subs,change_views,change_videos
2026-05-05 18:38:05,Talking Angela,UCPcynnZcILjm0e2aaaTuCjw,13700000,4534135126,598,0,1386726,0
2026-05-05 18:38:06,Talking Tom & Friends Arabic,UCQw_lrIOCGzVzaFS-eoyEQA,30700,7065321,172,100,30570,0
2026-05-05 18:38:06,Talking Tom & Friends Games,UCRLtkybxNbcLloUTNWS14ig,1250000,421222710,364,0,72618,0
2026-05-05 18:38:07,Talking Tom & Friends Español,UCC9R-cxQeOpPhq2lAru0V8w,10700000,5375646873,1086,0,2156970,0
2026-05-05 18:38:07,Talking Tom & Friends Brasil,UCY9xIaF8CIdS23e0W6nHAmg,8130000,3580430898,1143,0,204618,0
2026-05-05 18:38:08,Talking Tom & Friends Turkish,UC3ly5ABqAfilKmzj8Fc8t8w,4240000,1799965355,602,0,159456,0
2026-05-05 18:38:08,Talking Tom & Friends India,UCJJv5oflRxCc89Ztfi1ydGQ,1700000,864326248,575,0,3770,0
2026-05-05 18:38:09,Talking Tom & Friends France,UCNlAox6aLNlE3M6QP2nzv7w,962000,266012886,656,0,68661,0
2026-05-05 18:38:10,Talking Tom & Friends Italia,UC0sykHIFHIShnVK2BWChAGg,546000,143082441,621,0,80060,0
2026-05-05 18:38:10,Talking Tom & Friends China,UCpB_Rt4GwuGnGr6yPISWd1A,662000,290634479,622,0,364133,0
2026-05-05 18:38:11,Talking Tom & Friends German,UCDmZClRTeVVd9T7p0m8_nOA,659000,187583806,589,0,69107,0
2026-05-05 18:38:11,Talking Tom,UCm3hAp1m1xlAz0ve_EKAo4g,33400000,17939296565,1083,0,457148,0
